listing_id,repay_amt,repay_date
5431438,138.5903,2019-04-10
5443211,208.0805,2019-04-15
5461707,421.2097,2019-04-19
5472320,212.6537,2019-04-26
5459750,817.4593,2019-04-21
5393299,112.0961,2019-04-01
5342607,947.1053,2019-03-15
5472584,133.766,2019-04-24
5445001,332.7002,2019-04-07
5439841,234.3764,2019-04-13
5345026,346.8751,2019-03-14
5454259,83.4608,2019-04-11
5286123,384.2833,2019-02-26
5365398,309.1135,2019-03-20
5308074,80.1297,2019-03-01
5315306,116.0648,2019-03-06
5339163,107.1232,2019-03-13
5469682,2552.7352,2019-04-25
5450748,195.7588,2019-04-16
5350755,258.3857,2019-03-17
5441594,283.5383,2019-04-12
5421090,327.7961,2019-04-03
5443567,241.2362,2019-04-09
5441246,830.0356,2019-04-14
5483499,126.9062,2019-04-26
5423943,370.7292,2019-04-06
5465206,201.8222,2019-04-15
5330756,1357.3193,2019-03-13
5435833,284.9764,2019-04-11
5477715,1316.2804,2019-04-27
5297427,114.471,2019-02-26
5366805,236.081,2019-03-21
5447431,519.058,2019-04-15
5444917,72.0278,2019-04-09
5464939,152.8583,2019-04-19
5438868,357.8528,2019-04-14
5464615,1015.6589,2019-04-23
5479705,755.7996,2019-04-29
5325238,922.6365,2019-03-11
5334864,479.8691,2019-03-10
5429558,1664.8166,2019-04-11
5387947,122.333,2019-03-25
5384346,494.2421,2019-03-27
5481258,107.0008,2019-04-21
5425429,198.7159,2019-04-06
5399648,1017.604,2019-04-02
5479810,198.7159,2019-04-27
5442441,258.3857,2019-04-11
5372546,657.1195,2019-03-22
5479895,101.7536,2019-04-24
5388459,93.7505,2019-03-27
5372399,650.3228,2019-03-22
5446381,107.0008,2019-04-13
5315180,175.1406,2019-03-09
5284916,2590.4794,2019-02-28
5382060,356.7095,2019-03-25
5293846,192.3113,2019-03-01
5369517,212.2816,2019-03-15
5454304,445.8869,2019-04-18
5328947,397.8862,2019-03-10
5461105,170.3516,2019-04-18
5442752,383.0054,2019-04-07
5427897,1859.7771,2019-04-10
5418190,290.4309,2019-03-29
5445829,258.3857,2019-04-11
5443922,152.4493,2019-04-16
5472662,101.3441,2019-04-22
5336201,785.5702,2019-03-14
5395346,528.2044,2019-03-24
5393345,198.7159,2019-03-29
5479437,161.3504,2019-04-23
5405909,210.3671,2019-04-02
5400727,174.9377,2019-04-01
5438705,1315.938,2019-04-14
5476061,940.9282,2019-04-27
5450026,188.8293,2019-04-16
5458641,198.7159,2019-04-19
5361795,940.9282,2019-03-17
5306340,2233.3297,2019-03-07
5312184,509.396,2019-03-03
5383003,940.9282,2019-03-26
5409138,633.388,2019-03-31
5348717,1191.9583,2019-03-18
5467447,107.4075,2019-04-21
5284718,298.7693,2019-02-27
5353967,174.9377,2019-03-17
5430269,54.5699,2019-04-07
5342795,509.396,2019-03-16
5328386,101.8792,2019-03-08
5284235,248.4021,2019-02-27
5312948,1866.7307,2019-03-09
5378666,159.6518,2019-03-22
5304088,224.3431,2019-03-04
5328461,266.9578,2019-03-12
5409083,107.4075,2019-04-01
5449232,101.3441,2019-04-15
5328319,309.467,2019-03-07
5316836,263.2833,2019-03-07
5322154,358.2943,2019-03-11
5460980,198.7159,2019-04-17
5457378,133.766,2019-04-19
5423764,405.8714,2019-04-04
5319294,107.1232,2019-03-06
5301866,187.0405,2019-03-03
5471337,159.6518,2019-04-15
5473818,1627.0925,2019-04-25
5463150,185.2145,2019-04-21
5381558,77.0908,2019-03-23
5373693,407.9753,2019-03-21
5407328,234.3764,2019-04-04
5424564,198.7159,2019-04-07
5378209,488.5844,2019-03-23
5451649,72.0278,2019-04-10
5473839,974.0913,2019-04-23
5484006,225.2093,2019-04-28
5474548,290.1735,2019-04-24
5284085,75.5508,2019-02-28
5360039,208.0805,2019-03-19
5380794,72.0278,2019-03-19
5381220,195.5042,2019-03-26
5413749,643.7034,2019-04-05
5435976,171.4949,2019-04-09
5328445,694.8391,2019-03-12
5381267,110.3976,2019-03-24
5459692,475.5592,2019-04-20
5370834,123.0462,2019-03-18
5293212,123.9188,2019-02-28
5444328,254.7639,2019-04-10
5469565,186.2307,2019-04-22
5355181,508.7683,2019-03-18
5452137,576.0161,2019-04-14
5389198,407.6223,2019-03-28
5369811,760.2943,2019-03-20
5402450,351.673,2019-04-03
5442069,273.4465,2019-04-14
5474468,255.0552,2019-04-20
5442547,138.3392,2019-04-11
5332549,283.8881,2019-03-13
5478458,1284.0105,2019-04-26
5350630,129.1928,2019-03-18
5392202,92.6823,2019-04-01
5307144,1054.2285,2019-03-07
5354486,133.766,2019-03-14
5349702,445.4965,2019-03-14
5395318,440.1704,2019-03-31
5391887,1074.7017,2019-03-31
5478165,133.766,2019-04-23
